out	Kingdom	Phylum	Class	Order	Family
9536b3359621885f08006af822589499	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
57fed63d40dc45c5aedb247b40daae9c	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
4d2afec2f166798ea59a5112cabfb6a2	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
2e6d79d8324256a0ddff66cb646f642e	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Saprospiraceae
a70dba29d44e3fee69828a818cdcc082	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae
0ed1fdf8594587ccc5b10a8fdaea458a	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae
7773ebbb746e1c9373cc226d4cf1f103	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae
b75c22636970bd46ed111be12b773c7b	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae
93a58e76a9e04c81f7f267b0ddff8057	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
7067095979c651eac73d3af5fd76660b	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Leuconostocaceae
6948d7a95ff41532e69cbf2f6f3855fa	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
3e64e27147609353a80d6e3581139ac4	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
da092c139403cba34dff26246f9c1bf4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria
83af8e089439f6286cd62482a0c0c28f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
19522b36f3dd0bb4acd421cc3eb63248	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Chitinibacteraceae
0c2b1ec36c4c2c3735316281f8e8afe7	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Cyclobacteriaceae
86d68f7d19d545cc02313d74d3ec8685	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	NA
4a4b1d3672df901f05c50adf3eb7bc25	Bacteria	 Proteobacteria	 Gammaproteobacteria	NA	NA
b02b4b951f04e7c3b8ccd77665750028	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
8f197a6968cab9015d4a9177f4389b04	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Chitinibacteraceae
2a8262d8fbc210719dc5aa36812771dd	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae
cbc2309d2fe4a2864ca457bfdb1e7fc8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
254a1af910a0f786f4b7ededf309c3c4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
9883e326ece9761f9df2ec71d66ed712	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae
ec2cf847a9c30c8f32d822c2e69b8dea	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Cyclobacteriaceae
